economy,time,BX.KLT.DINV.CD.WD,FP.CPI.TOTL.ZG,FR.INR.RINR,NE.CON.GOVT.CD,NE.CON.TOTL.CD,NE.EXP.GNFS.CD,NY.GDP.MKTP.CD,SL.UEM.TOTL.ZS,AG.LND.AGRI.ZS,NE.GDI.TOTL.CD,NE.IMP.GNFS.CD,SL.TLF.CACT.ZS
AFW,YR2021,20677155529.4487,3.83786802840503,,73355543677.6192,610829919889.516,165790107626.667,840187283626.448,4.87363510086898,,237636188264.99,179288467472.78,61.3800178313346
AGO,YR2000,878620000.0,324.996871601321,-60.7813270387995,,3896714485.84334,8187952996.90344,9129594818.60749,4.16300010681152,37.6685569904548,2783907339.68352,5738980003.82281,77.2979965209961
AGO,YR2001,2145470000.0,152.561022469299,-5.03293321688833,2247834009.58387,6171664555.55606,6736804052.06298,8936063723.20121,4.11899995803833,38.1137811823213,2724893475.80685,6697298360.22468,77.2949981689453
AGO,YR2002,1743504000.0,108.897436089429,-33.5534010972108,2924222723.53447,9268944319.11638,8725781181.80022,15285594828.418,4.04300022125244,38.5590053741879,4661062894.26651,7370193566.76514,77.2809982299805
AGO,YR2003,3576971780.0,98.2241436573305,1.12848545105309,3892834787.41071,11543958083.9688,9676099739.56623,17812704825.1957,4.04300022125244,39.0042295660544,5424166591.82938,8831519590.16866,77.2610015869141
AGO,YR2004,2197227820.0,43.5421067519686,36.6376310182372,3370783826.94089,13171613116.371,13749769575.3243,23552047248.4301,3.97199988365173,39.4494537579209,7276093050.87059,10645428494.1358,77.2399978637695
AGO,YR2005,-1303836930.0,22.953513851394,17.800888578278,5926082302.3643,17739329570.8652,24225663183.7639,36970918699.2523,3.91499996185303,39.8946779497874,10187920710.5167,15181994765.8936,77.2220001220703
AGO,YR2006,-37714860.0,13.3052101780031,2.04511437899832,8036148670.92789,23251227788.1398,33245105956.2189,52381006892.038,3.88199996948242,40.339902141654,12205178422.7822,16320505275.1029,77.2369995117188
AGO,YR2007,-893342152.0,12.2514974459487,12.83731631715,10140406043.3264,30360597136.3425,44319695565.281,65266452081.386,3.82699990272522,40.7851263335205,16793436245.618,26207276865.8555,77.2480010986328
AGO,YR2008,1678971010.0,12.4758291326398,-5.72372430776723,14887423467.4158,40382989442.0351,64168383679.8013,88538610805.3214,3.79099988937378,41.230350525387,27273480876.5163,43286243193.0314,77.254997253418
